ImageID,Labels,Caption,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.jpg,[1],Woman in swim suit holding parasol on sunny day.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.jpg,"[1, 19]",A couple of men riding horses on top of a green field.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.jpg,[1],They are brave for riding in the jungle on those elephants.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.jpg,"[8, 3, 13]",a black and silver clock tower at an intersection near a tree,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4.jpg,"[8, 3, 7]",A train coming to a stop on the tracks out side.,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.jpg,[1],A young man riding a skateboard into the air.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.jpg,[5],A big airplane flying in the big blue sky,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.jpg,"[1, 4]",A man riding a motor bike across a forest.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.jpg,"[8, 3]",There is a street lined with packed buildings,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.jpg,"[1, 18, 15]",A skate park next to a body of water and green park.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10.jpg,[1],Woman cutting pizza with fork and knife sitting next to young girl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.jpg,[1],a man and woman cut into a big cake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.jpg,"[1, 15]",A piece of cake and coffee are on an outdoor table.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13.jpg,"[1, 3]",People gathered outside in a big field on a cloudy day,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.jpg,"[1, 13, 7]",A stop sign directs pedestrians as a train travels by.,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
15.jpg,[1],a female in military uniform cutting a businessman's neck tie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
